Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Sávio,br BRA,MF,21-159,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,Manchester-City
Manuel Akanji,ch SUI,"DF,MF",30-059,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Ederson,br BRA,GK,32-030,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
İlkay Gündoğan,de GER,MF,34-327,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Stephen Mfuni,eng ENG,DF,17-216,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Divine Mukasa,eng ENG,MF,18-025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Stefan Ortega,de GER,GK,32-314,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Squad Total,,,25.6,4,44,360.0,4.0,8.0,7.0,15.0,8.0,0.0,0.0,5.0,0.0,8.4,8.4,7.6,16.1,92.0,161.0,159.0,2.0,1.75,3.75,2.0,3.75,2.11,1.91,4.02,2.11,4.02,,Manchester-City
Opponent Total,,,26.4,4,44,360.0,4.0,4.0,2.0,6.0,3.0,1.0,1.0,7.0,0.0,5.1,4.3,3.3,7.7,65.0,116.0,116.0,1.0,0.5,1.5,0.75,1.25,1.28,0.83,2.11,1.09,1.92,,Manchester-City
Marc Guéhi,eng ENG,DF,25-065,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,13.0,1.0,0.25,0.0,0.25,0.25,0.25,0.05,0.01,0.06,0.05,0.06,Matches,Crystal-Palace
Dean Henderson,eng ENG,GK,28-188,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Maxence Lacroix,fr FRA,DF,25-163,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,0.0,6.0,1.0,0.0,0.25,0.25,0.0,0.25,0.03,0.13,0.15,0.03,0.15,Matches,Crystal-Palace
Tyrick Mitchell,eng ENG,"DF,MF",26-015,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,13.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Crystal-Palace
Daniel Muñoz,co COL,"DF,MF",29-113,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.5,1.6,6.0,8.0,19.0,0.0,0.25,0.25,0.0,0.25,0.04,0.37,0.41,0.04,0.41,Matches,Crystal-Palace
Chris Richards,us USA,DF,25-172,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Crystal-Palace
Jean-Philippe Mateta,fr FRA,FW,28-080,4,4,351.0,3.9,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.8,1.0,0.0,1.0,2.0,4.0,13.0,0.26,0.0,0.26,0.0,0.0,0.47,0.0,0.47,0.27,0.27,Matches,Crystal-Palace
Will Hughes,eng ENG,MF,30-152,4,4,319.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.6,1.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.18,0.04,0.18,Matches,Crystal-Palace
Ismaila Sarr,sn SEN,"MF,FW",27-203,3,3,270.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,4.0,8.0,12.0,0.67,0.0,0.67,0.67,0.67,0.66,0.02,0.68,0.66,0.68,Matches,Crystal-Palace
Adam Wharton,eng ENG,MF,21-222,3,3,226.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,Crystal-Palace
Daichi Kamada,jp JPN,MF,29-042,2,2,175.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.3,0.34,0.03,0.34,Matches,Crystal-Palace
Jefferson Lerma,co COL,MF,30-326,4,1,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Crystal-Palace
Yeremi Pino,es ESP,MF,22-331,2,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.1,3.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.66,0.31,0.97,0.66,0.97,Matches,Crystal-Palace
Justin Devenny,nir NIR,"FW,MF",21-340,4,1,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,5.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.15,0.04,0.15,Matches,Crystal-Palace
Eberechi Eze,eng ENG,MF,27-079,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Crystal-Palace
Romain Esse,eng ENG,FW,20-126,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Christantus Uche,ng NGA,MF,22-120,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Crystal-Palace
Nathaniel Clyne,eng ENG,DF,34-164,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Odsonne Édouard,fr FRA,FW,27-243,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Walter Benítez,ar ARG,GK,32-240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Jaydee Canvot,fr FRA,MF,19-049,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Rio Cardines,tt TRI,MF,19-077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Remi Matthews,eng ENG,GK,31-218,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Jesurun Rak Sakyi,eng ENG,"FW,MF",22-346,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Kaden Rodney,eng ENG,"DF,MF",20-344,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Borna Sosa,hr CRO,"DF,MF",27-238,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Squad Total,,,26.9,4,44,360.0,4.0,4.0,2.0,6.0,3.0,1.0,1.0,10.0,0.0,6.2,5.4,4.2,9.6,41.0,114.0,112.0,1.0,0.5,1.5,0.75,1.25,1.54,1.06,2.59,1.34,2.4,,Crystal-Palace
Opponent Total,,,26.2,4,44,360.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,4.0,4.0,2.9,6.9,53.0,185.0,184.0,0.25,0.25,0.5,0.25,0.5,1.0,0.74,1.73,1.0,1.73,,Crystal-Palace
Dan Burn,eng ENG,DF,33-130,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Newcastle-United
Bruno Guimarães,br BRA,MF,27-304,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,3.0,26.0,11.0,0.25,0.0,0.25,0.25,0.25,0.06,0.02,0.08,0.06,0.08,Matches,Newcastle-United
Valentino Livramento,eng ENG,DF,22-308,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,9.0,19.0,25.0,0.0,0.25,0.25,0.0,0.25,0.0,0.05,0.05,0.0,0.05,Matches,Newcastle-United
Nick Pope,eng ENG,GK,33-150,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United
Fabian Schär,ch SUI,DF,33-270,4,4,350.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,Newcastle-United
Sandro Tonali,it ITA,MF,25-131,4,4,335.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,10.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.22,0.06,0.22,Matches,Newcastle-United
Kieran Trippier,eng ENG,DF,34-362,4,4,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,4.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,Newcastle-United
Harvey Barnes,eng ENG,FW,27-281,4,3,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,1.0,13.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,0.13,0.23,0.35,0.13,0.35,Matches,Newcastle-United
Joelinton,br BRA,MF,29-033,3,3,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,5.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.28,0.3,0.02,0.3,Matches,Newcastle-United
Anthony Elanga,se SWE,FW,23-142,4,2,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,9.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.25,0.13,0.38,0.25,0.38,Matches,Newcastle-United
Jacob Murphy,eng ENG,FW,30-204,3,2,163.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.2,1.1,5.0,5.0,30.0,0.0,0.55,0.55,0.0,0.55,0.5,0.08,0.58,0.5,0.58,Matches,Newcastle-United
Anthony Gordon,eng ENG,FW,24-204,2,2,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,0.1,1.2,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.72,0.06,0.78,0.72,0.78,Matches,Newcastle-United
William Osula,dk DEN,FW,22-043,4,1,132.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,1.0,1.0,10.0,0.68,0.0,0.68,0.68,0.68,0.27,0.05,0.33,0.27,0.33,Matches,Newcastle-United
Sven Botman,nl NED,DF,25-247,2,1,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United
Nick Woltemade,de GER,FW,23-214,1,1,64.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,3.0,1.41,0.0,1.41,1.41,1.41,0.39,0.04,0.43,0.39,0.43,Matches,Newcastle-United
Jacob Ramsey,eng ENG,MF,24-111,2,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.42,0.46,0.04,0.46,Matches,Newcastle-United
Lewis Miley,eng ENG,MF,19-138,3,0,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches,Newcastle-United
Lewis Hall,eng ENG,DF,21-008,2,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Newcastle-United
Joe Willock,eng ENG,MF,26-027,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches,Newcastle-United
Malick Thiaw,de GER,DF,24-039,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United
Emil Krafth,se SWE,DF,31-045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle-United
Jamaal Lascelles,eng ENG,DF,31-309,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle-United
Aaron Ramsdale,eng ENG,GK,27-125,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle-United
Park Seungsoo,kr KOR,MF,18-183,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle-United
Squad Total,,,28.5,4,44,360.0,4.0,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,4.4,4.4,3.7,8.1,70.0,179.0,176.0,0.75,0.5,1.25,0.75,1.25,1.1,0.92,2.01,1.1,2.01,,Newcastle-United
Opponent Total,,,27.1,4,44,360.0,4.0,3.0,3.0,6.0,3.0,0.0,0.0,9.0,1.0,2.1,2.1,1.8,3.9,52.0,123.0,121.0,0.75,0.75,1.5,0.75,1.5,0.52,0.46,0.98,0.52,0.98,,Newcastle-United
Joachim Andersen,dk DEN,DF,29-108,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,5.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.22,0.05,0.22,Matches,Fulham
Calvin Bassey,ng NGA,DF,25-259,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,7.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Fulham
Bernd Leno,de GER,GK,33-196,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
Saša Lukić,rs SRB,MF,29-034,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.6,1.1,7.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.13,0.15,0.27,0.13,0.27,Matches,Fulham
Kenny Tete,nl NED,DF,29-342,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,6.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,Fulham
Sander Berge,no NOR,MF,27-214,4,4,328.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.7,2.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.18,0.11,0.18,Matches,Fulham
Alex Iwobi,ng NGA,FW,29-136,4,4,313.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.0,1.2,19.0,24.0,21.0,0.0,0.29,0.29,0.0,0.29,0.03,0.3,0.33,0.03,0.33,Matches,Fulham
Joshua King,eng ENG,MF,18-256,4,4,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,7.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.16,0.13,0.16,Matches,Fulham
Rodrigo Muniz,br BRA,FW,24-135,4,3,237.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.1,0.9,0.0,2.0,5.0,0.38,0.0,0.38,0.38,0.38,0.31,0.02,0.33,0.31,0.33,Matches,Fulham
Ryan Sessegnon,eng ENG,DF,25-121,3,3,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,6.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches,Fulham
Harry Wilson,wls WAL,FW,28-178,4,2,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,4.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Fulham
Timothy Castagne,be BEL,"FW,DF",29-285,3,2,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.33,0.27,0.33,Matches,Fulham
Raúl Jiménez,mx MEX,FW,34-134,4,1,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches,Fulham
Jorge Cuenca,es ESP,DF,25-303,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
Emile Smith Rowe,eng ENG,"MF,FW",25-050,4,0,89.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,1.0,4.0,8.0,1.01,0.0,1.01,1.01,1.01,0.8,0.03,0.83,0.8,0.83,Matches,Fulham
Adama Traoré,es ESP,FW,29-234,3,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.16,0.06,0.16,Matches,Fulham
Antonee Robinson,us USA,DF,28-039,2,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Fulham
Tom Cairney,sct SCO,MF,34-239,2,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
Kevin,br BRA,FW,22-255,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.27,0.38,0.11,0.38,Matches,Fulham
Issa Diop,fr FRA,DF,28-250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Benjamin Lecomte,fr FRA,GK,34-143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Andreas Pereira,br BRA,MF,29-258,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Harrison Reed,eng ENG,MF,30-232,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Squad Total,,,28.0,4,44,360.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,4.4,4.4,3.7,8.1,76.0,146.0,143.0,0.5,0.25,0.75,0.5,0.75,1.09,0.93,2.01,1.09,2.01,,Fulham
Opponent Total,,,25.8,4,44,360.0,4.0,3.0,1.0,4.0,1.0,2.0,3.0,8.0,0.0,6.0,3.6,3.2,6.8,62.0,134.0,133.0,0.75,0.25,1.0,0.25,0.5,1.5,0.8,2.3,0.91,1.71,,Fulham
Nathan Collins,ie IRL,DF,24-139,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.03,Matches,Brentford
Sepp van den Berg,nl NED,DF,23-270,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Brentford
Caoimhín Kelleher,ie IRL,GK,26-297,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford
Yehor Yarmoliuk,ua UKR,MF,21-199,4,4,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,4.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Brentford
Michael Kayode,it ITA,DF,21-068,4,4,346.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,4.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Brentford
Thiago,br BRA,FW,24-082,4,4,341.0,3.8,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.2,0.5,1.1,1.5,4.0,3.0,9.0,0.53,0.0,0.53,0.26,0.26,0.33,0.28,0.61,0.12,0.4,Matches,Brentford
Keane Lewis-Potter,eng ENG,"DF,FW",24-206,4,4,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,4.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches,Brentford
Kevin Schade,de GER,FW,23-293,4,3,302.0,3.4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.6,0.9,0.1,0.9,6.0,1.0,7.0,0.3,0.0,0.3,0.3,0.3,0.49,0.02,0.51,0.26,0.27,Matches,Brentford
Jordan Henderson,eng ENG,MF,35-091,4,3,250.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3.0,12.0,0.0,0.0,0.36,0.36,0.0,0.36,0.01,0.08,0.09,0.01,0.09,Matches,Brentford
Dango Ouattara,bf BFA,FW,23-217,3,2,191.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,5.0,0.0,9.0,0.47,0.0,0.47,0.47,0.47,0.4,0.0,0.4,0.4,0.4,Matches,Brentford
Mikkel Damsgaard,dk DEN,MF,25-075,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,6.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.21,0.24,0.03,0.24,Matches,Brentford
Mathias Jensen,dk DEN,MF,29-258,3,2,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.19,0.08,0.19,Matches,Brentford
Rico Henry,eng ENG,DF,28-070,4,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.3,9.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches,Brentford
Fabio Carvalho,pt POR,"FW,MF",23-017,3,1,92.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,2.0,2.0,5.0,0.98,0.0,0.98,0.98,0.98,0.68,0.0,0.68,0.68,0.68,Matches,Brentford
Ethan Pinnock,jm JAM,DF,32-110,1,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford
Antoni Milambo,nl NED,MF,20-166,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford
Frank Onyeka,ng NGA,MF,27-258,3,0,64.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,1.0,1.0,0.0,1.41,1.41,0.0,1.41,0.0,0.17,0.17,0.0,0.17,Matches,Brentford
Aaron Hickey,sct SCO,"DF,FW",23-098,3,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford
Kristoffer Ajer,no NOR,DF,27-152,2,0,14.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0,0.0,0.0,6.43,6.43,0.0,6.43,0.26,4.31,4.57,0.26,4.57,Matches,Brentford
Benjamin Arthur,eng ENG,DF,19-342,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Vitaly Janelt,de GER,MF,27-129,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
